"year","nerkids","Kokanee","propKokanee","Sockeye","propSox","NOsockeye","propNO","HOsockeye","propHO"
"2014",0,0,26.3,0,73.7,0,0,0,100
"2015",615,465,75.6,150,24.4,0,0,0,100
"2018",830,341,41.1,489,58.9,376,76.8,113,23.2
"2019",0,0,8.3,0,91.7,0,9.3,0,90.7
"2020",11611,116,1,11495,99,161,1.4,11334,98.6
