year,nerkids
2000,21926
2001,39378
2002,4904
2003,17753
2004,41791
2005,31260
2006,20819
2007,13490
2008,126972
2009,64088
2010,182487
2011,34528
2012,90862
2013,34440
2014,145206
2015,10255
2016,54554
2017,10033
2018,30755
2019,13057
2020,46697
2021,10660
2022,74700
