"year","total_auc","nerkids"
"2011",545983.5,49635
"2012",403131.5,36648
"2013",323257,29387
"2014",667117,60647
"2015",653456.5,59405
"2016",873659,79424
"2017",508521.5,46229
"2018",664467.5,60406
"2019",482452,43859
"2020",672539.5,61140
"2021",641293.5,58299
"2022",573725.5,52157
