"year","total_auc","nerkids"
"2009",44447.5,4041
"2010",196424.5,17857
"2011",24608.5,2237
"2012",35301,3209
"2013",23273,2116
"2014",16442.5,1495
"2015",2065,188
"2016",7035,640
"2017",1841,167
"2018",2745.5,250
"2019",589.5,54
"2020",15848,1441
"2021",437.5,40
"2022",6170,561
